Save	O
$	O
2.00	O
ONE	O
Downy	B
Liquid	I
Fabric	I
Conditioner	I
72	O
ld	O
or	O
larger	O
(	O
includes	O
Downy	B
Odor	I
Protect	I
48	O
oz	O
or	O
larger	O
OR	O
Downy	B
Wrinkle	I
Guard	I
40	O
oz	O
or	O
larger	O
OR	O
Downy	B
Nature	I
Blends	I
67	O
oz	O
or	O
larger	O
)	O
OR	O
Bounce	B
/	I
Downy	I
Sheets	I
130	O
ct	O
or	O
larger	O
(	O
includes	O
Bounce	B
/	I
Downy	I
Wrinkle	I
Guard	I
80	O
ct	O
or	O
larger	O
)	O
OR	O
In	B
Wash	I
Scent	I
Boosters	I
8.6	O
oz	O
or	O
larger	O
(	O
includes	O
Downy	B
Unstopables	I
,	I
Fresh	I
Protect	I
,	I
Odor	I
Protect	I
,	I
and	I
Infusions	B
)	O
(	O
excludes	O
Downy	B
Libre	I
Enjuague	I
,	I
Gain	I
Fireworks	I
,	O
and	O
trial	O
/	O
travel	O
size	O
)	O
.	O

Save	O
$	O
2.00	O
ONE	O
Tide	B
PODS	I
OR	O
Tide	B
Power	I
PODS	I
(	O
excludes	O
Tide	B
Liquid	I
/	I
Powder	I
Laundry	I
Detergent	I
,	I
Tide	I
Simply	I
,	I
Tide	I
Simply	I
PODS	I
,	I
and	I
Tide	I
PODS	I
9	I
ct	O
and	O
below	O
,	O
and	O
trial	O
/	O
travel	O
size	O
)	O
.	O

Save	O
$	O
2.00	O
ONE	O
Tide	B
Laundry	I
Detergent	I
(	O
excludes	O
Tide	B
Purclean	I
Laundry	I
Detergent	I
,	I
Studio	I
by	I
Tide	I
Laundry	I
Detergent	I
,	I
Tide	I
PODS	I
,	I
Tide	I
Rescue	I
,	I
Tide	I
Simply	I
Laundry	I
Detergent	I
,	I
Tide	I
Simply	I
PODS	I
,	I
Tide	I
Detergent	I
10	O
oz	O
and	O
trial	O
/	O
travel	O
size	O
)	O
.	O

SAVE	O
$	O
1.00	O
ON	O
TWO	O
when	O
you	O
buy	O
TWO	O
BOXES	O
(	O
8.9	O
-	O
15.2	O
OZ	O
.	O
EXCLUDES	O
LARGE	O
SIZE	O
)	O
any	O
flavor	O
/	O
variety	O
General	B
Mills	I
cereal	I
listed	O
:	O
*	O

$	O
3.00	O
OFF	O
when	O
you	O
purchase	O
any	O
THREE	O
(	O
3	O
)	O
Pepperidge	B
Farm	I
®	I
Farmhouse	I
buns	I
,	I
bread	I
,	I
or	I
cookies	I

SAVE	O
$	O
1.11	O
when	O
you	O
buy	O
any	O
ONE	O
(	O
1	O
)	O
Familly	B
Size	I
OREO	I
,	I
CHIPS	I
AHOY	I
!	I
or	I
NUTTER	I
BUTTER	I
Cookies	I
(	O
12.1	O
-	O
20	O
oz	O
.	O
)	O

SAVE	O
$	O
1.00	O
ON	O
TWO	O
when	O
you	O
buy	O
TWO	O
PACKAGES	O
any	O
flavor	O
5	O
COUNT	O
OR	O
LARGER	O
Nature	B
Valley	I
™	I
Granola	I
Bars	I
,	I
Biscuits	I
,	O
*	O

Save	O
$	O
1.00	O
on	O
any	O
TWO	O
(	O
2	O
)	O
Sargento	B
®	I
Natural	I
Cheese	I
Slices	I

$	O
0.65	O
OFF	O
On	O
Any	O
ONE	O
(	O
1	O
)	O
Oikos	B
Greek	I
Yogurt	I
Cup	I
(	O
Excluding	O
Oikos	B
Triple	I
Zero	I
)	O

$	O
2.00	O
OFF	O
ONE	O
(	O
1	O
)	O
SMALL	O
bag	O
of	O
Eight	B
O'Clock	I
®	I
Coffee	I
,	O
Any	O
variety	O
10	O
oz	O
.	O
-	O
12	O
oz	O
.	O
(	O
excluding	O
Barista	B
Blends	I
)	O

Save	O
$	O
0.50	O
ONE	O
Tide	B
Simply	I
Laundry	I
Detergent	I
34	O
oz	O
OR	O
31	O
oz	O
OR	O
Tide	B
Simply	I
PODS	I
13	O
ct	O
OR	O
Downy	B
Liquid	I
Fabric	I
Conditioner	I
40	O
ld	O
OR	O
Bounce	B
/	I
Downy	I
Sheets	I
40	O
ct	O
TO	O
60	O
ct	O
OR	O
In	B
-	I
Wash	I
Scent	I
Boosters	I
4.3	O
oz	O
OR	O
ERA	B
Laundry	I
Detergent	I
50	I
oz	O
or	O
smaller	O
(	O
includes	O
Downy	B
Unstopables	I
,	I
Fresh	I
Protect	I
,	I
and	I
Odor	I
Protect	I
)	O
(	O
excludes	O
Bounce	B
/	I
Downy	I
Wrinkle	I
Guard	I
Sheets	I
,	I
Downy	I
Libre	I
Enjuague	I
,	I
Gain	I
Fireworks	I
,	O
and	O
trial	O
/	O
travel	O
size	O
)	O
.	O

SAVE	O
$	O
1.00	O
ON	O
TWO	O
when	O
you	O
buy	O
TWO	O
BOXES	O
any	O
flavor	O
/	O
variety	O
Betty	B
Crocker	I
™	I
Fruit	I
Shapes	I
,	I
Fruit	I
by	O
the	O
Foot	B
™	I
,	O
*	O

$	O
0.50	O
OFF	O
on	O
ONE	O
(	O
1	O
)	O
Frigo	B
®	I
Cheese	I
Heads	I
®	I
8ct	O
or	O
larger	O
Snack	B
Cheese	I
Product	I

Save	O
$	O
0.50	O
off	O
ONE	O
(	O
1	O
)	O
jar	O
of	O
Pace	B
®	I
Salsa	I
or	I
Picante	I
Sauce	I

$	O
1.00	O
OFF	O
on	O
any	O
THREE	O
(	O
3	O
)	O
noosa	B
®	I
yoghurts	I

Save	O
$	O
1.00	O
on	O
any	O
ONE	O
(	O
1	O
)	O
Gardein	B
™	I
Frozen	I
Item	I

Save	O
$	O
1.00	O
ONE	O
Gain	B
Flings	I
12	O
ct	O
TO	O
26	O
ct	O
OR	O
Gain	B
Liquid	I
Laundry	I
Detergent	I
(	O
Includes	O
Gain	B
Botanicals	I
and	I
Gain	I
Essential	I
Oils	I
)	O
OR	O
Gain	B
Powder	I
Laundry	I
Detergent	I
(	O
excludes	O
Gain	B
Ultra	I
Flings	I
,	I
Gain	I
Fabric	I
Enhancers	I
,	I
Gain	I
Fireworks	I
,	I
Gain	I
Flings	I
9	O
ct	O
and	O
trial	O
/	O
travel	O
size	O
)	O
.	O

Save	O
$	O
0.50	O
on	O
any	O
ONE	O
(	O
1	O
)	O
pack	O
of	O
Energizer	B
®	I
Batteries	I

SAVE	O
$	O
2.00	O
on	O
TWO	O
(	O
2	O
)	O
Purina	B
®	I
Beggin	I
®	I
,	I
Busy	I
®	I
or	I
DentaLife	I
®	I
Dog	I
Treats	I
or	I
Chews	I
,	O
any	O
size	O
,	O
any	O
variety	O

Save	O
$	O
0.50	O
on	O
any	O
one	O
(	O
1	O
)	O
Pine	B
-	I
Sol	I
®	I
product	I
,	O
40oz+	O

SAVE	O
$	O
1.00	O
ON	O
ONE	O
when	O
you	O
buy	O
ONE	O
PACKAGE	O
any	O
flavor	O
/	O
variety	O
Cascadian	B
Farm	I
™	I
Cereal	I
or	I
Granola	I

SAVE	O
$	O
1.25	O
on	O
any	O
ONE	O
(	O
1	O
)	O
crunchy	O
Crunchmaster	B
®	I
Crackers	I
or	I
Snacks	I

Save	O
$	O
2.00	O
ONE	O
Dreft	B
Newborn	I
Laundry	I
Detergent	I
OR	O
Dreft	B
Active	I
Baby	I
Laundry	I
Detergent	I
OR	O
Dreft	B
Pure	I
Gentleness	I
Laundry	I
Detergent	I
(	O
excludes	O
trial	O
/	O
travel	O
size	O
)	O
.	O

$	O
1.00	O
OFF	O
any	O
THREE	O
(	O
3	O
)	O
Happy	B
Baby	I
Organics	I
&	I
amp	I
;	I
Happy	I
Tot	I
Organics	I
pouches	I

Save	O
$	O
1.00	O
on	O
any	O
ONE	O
(	O
1	O
)	O
Udi	B
's	I
®	I
Frozen	I
Item	I

Save	O
$	O
1.00	O
ONE	O
Downy	B
Liquid	I
Fabric	I
Conditioner	I
48ld	O
to	O
60ld	O
(	O
Includes	O
Downy	B
Odor	I
Protect	I
32	O
oz	O
OR	O
Downy	B
Wrinkle	I
Guard	I
25	O
oz	O
OR	O
Downy	B
Nature	I
Blends	I
44	O
oz	O
)	O
OR	O
Bounce	B
/	I
Downy	I
Sheets	I
70ct	O
to	O
120ct(Includes	O
Bounce	B
/	I
Downy	I
Wrinkle	I
Guard	I
40ct	O
to	O
60ct	O
)	O
OR	O
In	B
Wash	I
Scent	I
Boosters	I
5.7	O
oz	O
(	O
includes	O
Downy	B
Unstopables	I
,	I
Fresh	I
Protect	I
,	I
Odor	I
Protect	I
,	I
and	I
Infusions	I
)	O
OR	O
Bounce	B
Rapid	I
Touch	I
-	I
up	I
3	O
in	O
1	O
Spray	B
OR	O
Downy	B
Wrinkle	I
Releaser	I
Spray	I
(	O
excludes	O
Downy	B
Libre	I
Enjuague	I
and	O
trial	O
/	O
travel	O
size	O
)	O

Save	O
$	O
1.00	O
ONE	O
Gain	B
Liquid	I
Fabric	I
Softener	I
48	O
ld	O
or	O
larger	O
(	O
includes	O
Gain	B
Botanicals	I
)	O
OR	O
Gain	B
Fireworks	I
In	I
Wash	I
Scent	I
Boosters	I
5.7	O
oz	O
or	O
larger	O
OR	O
Gain	B
Dryer	I
Sheets	I
105	O
ct	O
or	O
larger	O
(	O
excludes	O
Gain	B
Flings	I
,	I
Gain	I
Detergent	I
and	I
trial	O
/	O
travel	O
size	O
)	O
.	O

$	O
1.00	O
OFF	O
on	O
any	O
ONE	O
(	O
1	O
)	O
Tillamook	B
®	I
Ice	I
Cream	I
Product	I
,	O
56	O
oz	O
.	O

Save	O
$	O
1.00	O
on	O
Any	O
ONE	O
(	O
1	O
)	O
BENADRYL	B
®	I
20ct	O
,	O
24ct	O
or	O
4	O
oz	O
product	O
(	O
excludes	O
topical	O
,	O
trial	O
&	O
amp	O
;	O
travel	O
sizes	O
)	O

Save	O
$	O
1.00	O
ONE	O
Oral	B
-	I
B	I
Glide	I
Manual	I
Floss	I
,	I
Floss	I
Picks	I
,	I
Interdental	I
Brush	I
OR	O
Interdental	B
Picks	I
(	O
excludes	O
trial	O
/	O
travel	O
size	O
)	O
.	O

$	O
1.00	O
OFF	O
TWO	O
(	O
2	O
)	O
Atkins	B
®	I
Bars	I
,	I
Shakes	I
or	I
Treats	I

Save	O
$	O
1.00	O
ONE	O
Prilosec	B
OTC	I
Product	I
.	O

$	O
0.75	O
OFF	O
any	O
ONE	O
(	O
1	O
)	O
Lily	B
’s	I
Chocolate	I
Bar	I
,	I
Chocolate	I
Candy	I
or	I
Baking	I
Chips	I

Save	O
$	O
1.00	O
ONE	O
Tide	B
Simply	I
Laundry	I
Detergent	I
50	O
oz	O
or	O
larger	O
OR	O
ERA	B
Laundry	I
Detergent	I
75	O
oz	O
or	O
larger	O
(	O
excludes	O
Tide	B
Detergent	I
,	I
Tide	I
PODS	I
,	I
Tide	I
Simply	I
PODS	I
,	I
and	O
trial	O
/	O
travel	O
size	O
)	O
.	O

Save	O
$	O
3.00	O
ONE	O
Venus	B
OR	O
Daisy	B
Disposable	I
2	O
ct	O
or	O
larger	O
(	O
excludes	O
Daisy	O
2	O
ct	O
)	O
.	O

Save	O
$	O
2.00	O
ONE	O
Tampax	B
Pearl	I
,	I
Radiant	I
OR	O
PURE	B
Tampons	I
(	O
14	O
ct	O
or	O
higher	O
)	O
.	O

Save	O
$	O
4.00	O
when	O
you	O
buy	O
ONE	O
(	O
1	O
)	O
Adult	B
ZYRTEC	I
®	I
product	I
,	O
any	O
variety	O
(	O
24	O
-	O
45ct	O
)	O
.	O
Excludes	O
trial	O
&	O
amp	O
;	O
travel	O
sizes	O

Save	O
$	O
2.00	O
ONE	O
Always	B
Radiant	I
,	I
Infinity	I
,	I
PURE	I
,	I
Pure	I
Cotton	I
,	I
Ultra	I
,	O
OR	O
Maxi	B
Pads	I
10	O
ct	O
OR	O
higher	O
(	O
excludes	O
Always	B
Liners	I
and	I
Always	I
Discreet	I
)	O
.	O

SAVE	O
55¢	O
on	O
any	O
ONE	O
(	O
1	O
)	O
OFF	B
!	I
®	I
Product&nbsp;(Excludes	I
Club	B
Packs	I
,	I
Twin	I
Packs	I
,	O
2	O
oz	O
.	O
and	O
2.5	O
oz	O
.	O
OFF	B
!	I
®	I
Products	I
)	O

SAVE	O
$	O
1.50	O
on	O
any	O
ONE	O
(	O
1	O
)	O
Glade	B
®	I
3-Wick	I
Candles	I
,	I
Twin	I
Pack	I
3.4	O
oz	O
Candles	B
,	I
PIugIn	I
®	I
Scented	I
Oil	I
Refill	I
Pack	I
,	I
or	I
Large	I
Automatic	I
Refills	I
Only	O
(	O
Excludes	O
1	O
Count	O
3.4	O
oz	O
Candles	B
and	I
PlugIns	I
®	I
Scented	I
Oil	I
Warmer	I
Only	O
packs	O
)	O

$	O
4.00	O
OFF	O
on	O
any	O
ONE	O
(	O
1	O
)	O
12ct	O
.	O
multipack	O
SHEBA	B
®	I
PERFECT	I
PORTIONS	I
™	I
Premium	I
Cat	I
Food	I

Save	O
$	O
3.00	O
ONE	O
Crest	B
Gum	I
Detoxify	I
,	I
Gum	I
&	I
amp	I
;	I
Enamel	I
Repair	I
,	O
OR	O
Gum	B
&	I
amp	I
;	I
Sensitivity	I
3.0	O
oz	O
or	O
larger	O
(	O
excludes	O
all	O
other	O
variants	O
,	O
kids	O
,	O
and	O
trial	O
/	O
travel	O
size	O
)	O
.	O

Get	O
$	O
2.00	O
off	O
any	O
ONE	O
(	O
1	O
)	O
Bag	O
of	O
PULL	B
-	I
UPS	I
®	I
Training	I
Pants	I
(	O
27	O
ct	O
.	O
or	O
lower	O
,	O
not	O
valid	O
on	O
trial	O
packs	O
)	O

$	O
4.00	O
OFF	O
on	O
ONE	O
(	O
1	O
)	O
Allegra	B
®	I
Allergy	I
24ct	O
or	O
larger	O
,	O
Allegra	B
-	I
D	I
®	I
,	I
or	I
Children	I
's	I
Allegra	I
®	I
Product	I

Save	O
$	O
2.00	O
ONE	O
Gain	B
Flings	I
30	O
ct	O
or	O
larger	O
OR	O
Gain	B
Ultra	I
Flings	I
18	O
ct	O
or	O
larger	O
(	O
excludes	O
Gain	B
Liquid	I
/	I
Powder	I
Laundry	I
Detergent	I
,	I
Gain	I
Fabric	I
Enhancers	I
,	I
Gain	I
Fireworks	I
,	I
Gain	I
Flings	I
9	O
ct	O
and	O
trial	O
/	O
travel	O
size	O
)	O
.	O

Save	O
$	O
2.00	O
ONE	O
Tide	B
Purclean	I
Laundry	I
Detergent	I
(	O
excludes	O
Studio	B
by	I
Tide	I
Laundry	I
Detergent	I
,	I
Tide	I
Detergent	I
,	I
Tide	I
PODS	I
,	I
Tide	I
Rescue	I
,	I
Tide	I
Simply	I
Laundry	I
Detergent	I
,	I
Tide	I
Simply	I
PODS	I
,	I
Tide	I
Detergent	I
10	O
oz	O
and	O
trial	O
/	O
travel	O
size	O
)	O
.	O

$	O
2.00	O
OFF	O
ONE	O
(	O
1	O
)	O
Starbucks	B
®	I
K	I
-	I
Cup	I
®	I
Coffee	I
with	I
Essential	I
Vitamins	I
,	I
Coffee	I
with	I
Golden	I
Turmeric	I
,	I
or	I
Coffee	I
with	I
2X	I
Caffeine	I
Product	I

Save	O
$	O
5.00	O
off	O
any	O
ONE	O
(	O
1	O
)	O
Claritin	B
®	I
up	O
to	O
55ct	O
,	O
excludes	O
60ct	O
or	O
larger	O

Save	O
$	O
2.00	O
ONE	O
Dreft	B
Blissfuls	I
In	I
Wash	I
Scent	I
Boosters	I
8.6	O
oz	O
or	O
larger	O
(	O
excludes	O
trial	O
/	O
travel	O
size	O
)	O
.	O

Save	O
$	O
3.00	O
ONE	O
(	O
1	O
)	O
Nexium	B
®	I
24HR	I
28ct	O
or	O
larger	O

Save	O
$	O
2.00	O
on	O
any	O
ONE	O
(	O
1	O
)	O
Aleve	B
®	I
or	I
Aleve	I
®	I
PM	I
product	O
40ct	O
.	O
or	O
larger	O
(	O
excludes	O
Aleve	B
-	I
D	I
®	I
)	O

Save	O
$	O
2.00	O
ONE	O
Always	B
DISCREET	I
Incontinence	I
Product	I
(	O
excludes	O
other	O
Always	B
Products	I
,	I
Always	I
Discreet	I
Boutique	I
and	O
trial	O
/	O
travel	O
size	O
)	O
.	O

$	O
1.50	O
Off	O
any	O
ONE	O
(	O
1	O
)	O
Mighty	B
Spark	I
All	I
-	I
Natural	I
Poultry	I
Patties	I
or	I
Ground	I
Chicken	I

Save	O
$	O
1.50	O
on	O
any	O
ONE	O
(	O
1	O
)	O
package	O
of	O
HUGGIES	B
®	I
LITTLE	I
SWIMMERS	I
®	I
Disposable	I
Swimpants	I
(	O
10	O
ct	O
.	O
or	O
larger	O
)	O

Save	O
$	O
2.00	O
ONE	O
Tide	B
Antibacterial	I
Spray	I
(	O
excludes	O
Tide	B
Stain	I
Pen	I
,	I
Tide	I
Rescue	I
,	I
Tide	I
Laundry	I
Detergent	I
,	I
Tide	I
PODS	I
and	I
trial	O
/	O
travel	O
size	O
)	O
.	O

Save	O
$	O
3.00	O
on	O
any	O
ONE	O
(	O
1	O
)	O
package	O
of	O
POISE	B
®	I
Ultra	I
Thin	I
Pads	I
or	I
Active	I
Collection	I
®	I
Pads	I
or	I
Liners	I
(	O
Reg	O
Pack	O
only	O
)	O
(	O
Not	O
valid	O
on	O
other	O
Poise	B
®	I
Pads	I
,	I
Liners	I
or	I
Impressa	I
®	I
Products	I
)	O

Get	O
$	O
3.00	O
off	O
any	O
ONE	O
(	O
1	O
)	O
Box	O
of	O
PULL	B
-	I
UPS	I
®	I
Training	I
Pants	I
(	O
40	O
ct	O
.	O
or	O
higher	O
)	O

Save	O
$	O
2.00	O
ONE	O
Venus	B
Razor	I
(	O
excludes	O
disposables	B
)	O
.	O

Save	O
$	O
1.00	O
ONE	O
Tide	B
